"","Geo_FIPS","X","fips10","incpc.0","dpov.0","npov.0","pop.0","incpc.1","dpov.1","npov.1","pop.1","incpc.2","dpov.2","npov.2","pop.2","incpc.3","dpov.3","npov.3","pop.3","incpc.4","dpov.4","npov.4","pop.4","trtid10","trctpop7","tractid","state","county","tract","placefp10","cbsa10","metdiv10","ccflag10","pop70","asian70","pop80","nhwht80","nhblk80","asian80","hisp80","pop90","nhwht90","nhblk90","asian90","hisp90","pop00","nhwht00","nhblk00","asian00","hisp00","pop10","nhwht10","nhblk10","asian10","hisp10","nhwht70","nhblk70","hisp70","wbha70","wbha80","wbha90","wbha00","wbha10","pw70","pb70","ph70","pa70","pw80","pb80","ph80","pa80","pw90","pb90","ph90","pa90","pw00","pb00","ph00","pa00","pw10","pb10","ph10","pa10","trtid10str"
"1","11001000100",11505,11001000100,10685.271484375,5406.55251444028,8,108,26363.0722272473,4618.73309303224,9,94,53436.9996642666,4647.99997079759,9,94,94722,4674,5,93,109518,4784,7,96,1.1e+10,5480,1.1e+10,"DC","District of Columbia","Census Tract 1",50000,47900,47894,1,5406.553,1,4717.173,86,3,1,4,4706,84,3,3,5,4674,81,4,4,4,4890,84,2,5,6,100,3,5,5427.611,4679.388,4700,4636,4855,0.9252689,0.0245043,0.0449553,0.0052714,0.9235019,0.0299618,0.0380365,0.0084998,0.8882979,0.0312766,0.0495745,0.0308511,0.8755392,0.0420621,0.041415,0.0409836,0.8654995,0.0240989,0.0609681,0.0494336,"11001000100"
"2","11001000201",11506,11001000201,2538.64331054688,2217.18999002591,5,51,4050.99242402624,1182.45184268874,4,45,5285.99992123246,117.999998241663,1,77,5803,201,3,89,2596,0,0,85,1.1e+10,3133,1.1e+10,"DC","District of Columbia","Census Tract 2.01",50000,47900,47894,1,2217.19,0,2265.438,41,1,1,2,3836,57,7,6,5,4467,77,5,6,2,3916,55,6,12,6,42,1,4,2312.124,2252.82,3812,4465,3895,0.8983082,0.0121101,0.079148,0.0104337,0.905107,0.029654,0.0490939,0.016145,0.7502623,0.0973242,0.0697796,0.0826338,0.8627099,0.0535274,0.0167973,0.0669653,0.703466,0.0741977,0.0706033,0.151733,"11001000201"
"3","11001000202",11507,11001000202,4301.48095703125,3756.80997008812,8,86,6864.00750309874,2003.54813603963,7,77,46195.9999158019,3645.9999933547,15,73,70127,3857,19,77,76526,3430,10,91,1.1e+10,2990,1.1e+10,"DC","District of Columbia","Census Tract 2.02",50000,47900,47894,1,3756.81,1,3838.562,69,2,1,4,3639,65,1,2,4,3850,66,1,5,4,5425,89,4,9,7,70,1,3,3778.876,3817.18,3629,3810,5396,0.9322878,0.0124376,0.0444577,0.0108169,0.9051071,0.029654,0.0490939,0.016145,0.900248,0.0165335,0.049876,0.0333425,0.8698162,0.0186352,0.0498688,0.0616798,0.8224611,0.0328021,0.0635656,0.0811712,"11001000202"
"4","11001000300",11508,11001000300,6317.16845703125,5477.00005025138,13,99,12791.0001173572,5224.00004793011,22,104,28347.0002600832,5738.00005264605,22,115,48588,5750,18,115,64259,5664,14,113,1.1e+10,5328,1.1e+10,"DC","District of Columbia","Census Tract 3",50000,47900,47894,1,5477,2,5240,97,2,2,3,5738,101,4,4,6,5706,95,4,8,6,6233,104,4,9,8,104,1,2,5421,5198,5724,5645,6204,0.9583102,0.0103302,0.0175244,0.0138351,0.9322817,0.017122,0.0307811,0.0198153,0.8815514,0.0324948,0.0496157,0.0363382,0.8373782,0.0350753,0.0573959,0.0701506,0.8359123,0.0288524,0.0651193,0.0701161,"11001000300"
"5","11001000400",11509,11001000400,14922.0002479553,897.313849116214,1,17,23177.8660835575,1510.32124714837,3,30,52794.8766855898,1312.17414463063,1,27,107152,1501,1,30,102247,1296,1,26,1.1e+10,915,1.1e+10,"DC","District of Columbia","Census Tract 4",50000,47900,47894,1,1027.062,0,1505.199,27,1,1,1,1249.645,20,1,1,2,1510,24,1,2,2,1455,23,1,2,2,18,1,1,1002.998,1483.201,1243.96,1472,1442,0.9212379,0.0309073,0.0269193,0.0209354,0.8977399,0.0382108,0.0415483,0.022501,0.8172126,0.0365575,0.0868241,0.0594059,0.8077446,0.0455163,0.0835598,0.0631794,0.79681,0.036061,0.0852982,0.0818308,"11001000400"
"6","11001000501",11510,11001000501,6338.28558349609,4496.27479151821,5,86,19622.0629228646,2729.94580714901,2,55,37058.1228892574,2762.82582933155,4,55,52725,2618,3,55,64416,3221,9,68,1.1e+10,3128,1.1e+10,"DC","District of Columbia","Census Tract 5.01",50000,47900,47894,1,4421.536,1,2734.628,46,3,2,4,2843.355,48,3,2,4,2765,45,3,4,3,3376,54,3,6,5,77,2,5,4253.776,2703.411,2834.04,2739,3361,0.8996712,0.0293857,0.0533643,0.0175789,0.8441364,0.0470232,0.0785629,0.0302776,0.8427617,0.0513486,0.0666872,0.0392025,0.826214,0.0525739,0.0573202,0.0638919,0.8000595,0.0416543,0.0687295,0.0895567,"11001000501"
"7","11001000502",11511,11001000502,3501.6103515625,2827.80286278905,3,54,17844.3435213983,3398.11034293104,5,68,38233.9531836535,3616.05941679444,2,72,65106,3062,3,61,94550,3241,5,65,1.1e+10,3759,1.1e+10,"DC","District of Columbia","Census Tract 5.02",50000,47900,47894,1,2775.676,1,3393.372,58,2,1,6,3616.059,61,2,3,7,3112,53,2,3,4,3189,51,2,5,5,50,1,5,2862.8,3360.206,3607.531,3087,3170,0.8652368,0.0230544,0.0953612,0.0163477,0.8632261,0.034123,0.0868584,0.0157924,0.8418702,0.0315209,0.0919359,0.034673,0.8526077,0.0272109,0.0719145,0.0482669,0.8044164,0.0347003,0.085489,0.0753943,"11001000502"
"8","11001000600",11512,11001000600,8614.4951171875,4866.00001494083,4,89,17230.0000529039,4365.00001340253,6,91,47281.0001451741,4399.00001350693,4,99,59853,4290,4,99,89389,4040,4,96,1.1e+10,4866,1.1e+10,"DC","District of Columbia","Census Tract 6",50000,47900,47894,1,4866,2,4551,79,3,2,6,4960,79,8,3,9,4919,73,13,4,7,4539,73,5,5,7,87,4,8,5026,4504,4947,4875,4506,0.8651015,0.0360127,0.0797851,0.0191007,0.8741119,0.0364121,0.0670515,0.0224245,0.7992723,0.0824742,0.0865171,0.0317364,0.7526154,0.1349744,0.0678974,0.0445128,0.8093653,0.057257,0.0736795,0.0596982,"11001000600"
"9","11001000701",11513,11001000701,5913.22509765625,5387.43377083085,8,110,20583.0005048445,5535.00013575835,10,111,41724.0010233751,4462.0001094406,4,89,55832,4395,5,88,90234,4585,1,92,1.1e+10,4800,1.1e+10,"DC","District of Columbia","Census Tract 7.01",50000,47900,47894,1,5387.434,1,5559,101,2,2,5,4578,73,4,3,11,4395,70,3,6,8,4620,72,5,7,8,101,2,3,5353.359,5500,4571,4349,4577,0.9410914,0.0147571,0.0317558,0.0123958,0.916,0.022,0.0427273,0.0192727,0.8002625,0.0446292,0.1170422,0.0380661,0.8077719,0.0395493,0.0862267,0.0664521,0.7828272,0.0535285,0.0889229,0.0747214,"11001000701"
"10","11001000702",11514,11001000702,3175.99829315022,2893.58904299887,4,59,16761.1096274359,2834.01833331981,5,57,24902.2891942953,3426.02817392565,8,69,33699,3282,12,66,50863,3106,5,62,1.1e+10,3481,1.1e+10,"DC","District of Columbia","Census Tract 7.02",50000,47900,47894,1,2893.589,1,2839.02,49,2,1,3,3320.03,51,4,5,6,3326,46,5,6,7,3364,50,4,5,7,53,1,2,2852.641,2789.019,3307.029,3219,3339,0.9293143,0.0147232,0.0434685,0.0124941,0.8845468,0.0297597,0.0623878,0.0233058,0.7768379,0.0565465,0.0973688,0.0692467,0.722274,0.0720721,0.1112147,0.0944393,0.7520216,0.0613956,0.1069182,0.0796646,"11001000702"
